읍면동명,선거인수,투표수,"무효
투표수",새누리당,더불어민주당
합계,162317,90327,34235,54441,0
거소·선상투표,693,598,276,274,0
관외사전투표,5724,5721,1867,3738,0
국외부재자투표,351,152,37,112,0
백석읍,22345,11602,4774,6612,0
