읍면동명,선거인수,투표수,더불어민주당,미래통합당,국가혁명배당금당,무소속,취소표
합,227800,152136,76572,50141,772,23326,76989
거소·,230,215,84,63,5,48,30
관외사,14894,14888,8583,4406,88,1606,211
국외부,853,184,131,47,0,6,669
국외부재자,0,8,5,3,0,0,-8
